Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Lebanon,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.04 ,0.03 , 0.04,,0.04 ,0.03 , 0.04,,0.04 ,0.03 , 0.04,,0.04 ,0.04 , 0.04,,0.04 ,0.04 , 0.04,,0.04 ,0.04 , 0.04,,0.04 ,0.04 , 0.04,,0.04 ,0.04 , 0.04,,0.04 ,0.04 , 0.05,,0.04 ,0.04 , 0.05,,0.05 ,0.04 , 0.05,,0.05 ,0.04 , 0.05,,0.05 ,0.04 , 0.05,,0.05 ,0.05 , 0.05,,0.05 ,0.05 , 0.05,,0.05 ,0.05 , 0.06,,0.05 ,0.05 , 0.06,,0.05 ,0.05 , 0.06,,0.05 ,0.05 , 0.06,,0.05 ,0.04 , 0.06,,0.05 ,0.04 , 0.06,,0.05 ,0.04 , 0.05,,0.05 ,0.04 , 0.05,,0.04 ,0.03 , 0.05,
Lesotho,8.23 ,6.16 , 10.60,,13.00 ,10.75 , 15.88,,19.54 ,16.49 , 23.83,,27.83 ,22.36 , 33.83,,35.11 ,27.11 , 42.93,,40.21 ,31.52 , 49.91,,41.84 ,34.65 , 49.47,,39.63 ,34.75 , 45.26,,36.72 ,31.31 , 41.53,,33.46 ,27.72 , 38.24,,30.85 ,25.99 , 35.73,,28.77 ,24.94 , 33.47,,27.36 ,24.28 , 31.46,,26.51 ,23.94 , 29.91,,26.17 ,23.62 , 29.13,,26.34 ,23.47 , 29.76,,26.19 ,22.68 , 29.70,,25.85 ,21.96 , 29.45,,24.63 ,20.46 , 28.42,,23.67 ,20.10 , 27.82,,22.65 ,19.68 , 26.44,,21.37 ,18.70 , 24.83,,21.02 ,18.13 , 24.54,,20.32 ,17.71 , 23.74,,18.81 ,16.41 , 21.82,,17.14 ,14.80 , 19.67,,15.05 ,12.90 , 17.45,,12.67 ,10.91 , 14.97,,10.73 ,9.01 , 13.04,,9.84 ,8.21 , 12.08,,8.77 ,7.24 , 11.05,
Liberia,4.57 ,1.69 , 8.54,,5.40 ,2.35 , 9.10,,4.40 ,2.68 , 6.33,,4.08 ,2.99 , 5.61,,3.72 ,2.89 , 5.25,,3.30 ,2.48 , 4.62,,2.86 ,2.14 , 3.99,,2.44 ,1.82 , 3.97,,2.72 ,1.88 , 4.14,,2.44 ,1.60 , 3.23,,2.26 ,1.48 , 2.88,,2.05 ,1.46 , 2.53,,1.74 ,1.34 , 2.10,,1.52 ,1.20 , 1.85,,1.46 ,1.17 , 1.78,,1.34 ,1.07 , 1.65,,1.28 ,1.01 , 1.59,,1.20 ,0.94 , 1.49,,1.12 ,0.86 , 1.41,,1.08 ,0.82 , 1.36,,1.00 ,0.76 , 1.26,,0.92 ,0.69 , 1.18,,0.87 ,0.64 , 1.13,,0.82 ,0.60 , 1.09,,0.77 ,0.54 , 1.04,,0.73 ,0.50 , 0.99,,0.69 ,0.46 , 0.94,,0.63 ,0.40 , 0.90,,0.56 ,0.32 , 0.82,,0.49 ,0.28 , 0.74,,0.45 ,0.25 , 0.71,
Libya,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.02,,0.02 ,0.01 , 0.02,,0.02 ,0.02 , 0.02,,0.03 ,0.02 , 0.03,,0.03 ,0.03 , 0.04,,0.04 ,0.04 , 0.05,,0.06 ,0.05 , 0.06,,0.07 ,0.06 , 0.08,,0.08 ,0.08 , 0.09,,0.10 ,0.09 , 0.12,,0.12 ,0.11 , 0.14,,0.15 ,0.13 , 0.17,,0.17 ,0.15 , 0.19,,0.18 ,0.16 , 0.20,,0.18 ,0.16 , 0.21,,0.17 ,0.14 , 0.20,,0.14 ,0.10 , 0.18,,0.11 ,0.07 , 0.16,,0.08 ,0.06 , 0.13,,0.06 ,0.05 , 0.09,,0.05 ,0.04 , 0.07,,0.05 ,0.04 , 0.06,,0.05 ,0.04 , 0.07,,0.06 ,0.05 , 0.07,,0.06 ,0.05 , 0.08,,0.07 ,0.06 , 0.08,,0.07 ,0.06 , 0.09,,0.08 ,0.06 , 0.10,,0.08 ,0.07 , 0.11,
Lithuania,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Luxembourg,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Madagascar,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.03,,0.02 ,<0.01 , 0.04,,0.03 ,0.01 , 0.05,,0.04 ,0.02 , 0.06,,0.05 ,0.03 , 0.07,,0.06 ,0.03 , 0.08,,0.07 ,0.04 , 0.09,,0.07 ,0.05 , 0.10,,0.09 ,0.06 , 0.12,,0.10 ,0.07 , 0.13,,0.11 ,0.08 , 0.15,,0.13 ,0.09 , 0.17,,0.15 ,0.11 , 0.18,,0.16 ,0.12 , 0.21,,0.19 ,0.15 , 0.24,,0.21 ,0.16 , 0.27,,0.23 ,0.18 , 0.29,,0.26 ,0.21 , 0.33,,0.29 ,0.23 , 0.37,,0.31 ,0.25 , 0.40,,0.34 ,0.27 , 0.43,,0.35 ,0.27 , 0.46,,0.37 ,0.28 , 0.50,,0.34 ,0.25 , 0.48,,0.39 ,0.28 , 0.59,,0.39 ,0.27 , 0.61,
Malawi,20.29 ,18.29 , 22.53,,21.91 ,20.00 , 24.21,,22.68 ,20.69 , 25.01,,22.86 ,20.93 , 25.11,,22.11 ,20.17 , 24.38,,21.55 ,19.59 , 23.67,,20.29 ,18.26 , 22.33,,18.86 ,16.84 , 20.85,,17.42 ,15.58 , 19.39,,15.99 ,14.31 , 17.94,,14.55 ,13.12 , 16.39,,13.17 ,11.94 , 15.02,,12.09 ,11.00 , 13.78,,11.05 ,10.09 , 12.61,,10.30 ,9.38 , 11.79,,9.46 ,8.62 , 10.90,,8.73 ,7.88 , 10.10,,8.08 ,7.22 , 9.44,,7.46 ,6.54 , 8.80,,7.07 ,6.16 , 8.33,,6.75 ,5.83 , 7.92,,6.36 ,5.48 , 7.53,,5.86 ,5.04 , 6.99,,5.31 ,4.56 , 6.44,,4.82 ,4.13 , 5.84,,4.37 ,3.73 , 5.30,,3.97 ,3.34 , 4.85,,3.42 ,2.83 , 4.26,,2.89 ,2.34 , 3.67,,2.39 ,1.87 , 3.03,,2.16 ,1.64 , 2.73,
Malaysia,0.52 ,0.41 , 0.61,,0.77 ,0.62 , 0.90,,0.84 ,0.68 , 0.98,,0.73 ,0.60 , 0.85,,0.60 ,0.49 , 0.70,,0.52 ,0.43 , 0.60,,0.48 ,0.40 , 0.55,,0.46 ,0.39 , 0.53,,0.46 ,0.39 , 0.53,,0.46 ,0.39 , 0.53,,0.46 ,0.39 , 0.53,,0.46 ,0.39 , 0.53,,0.43 ,0.37 , 0.49,,0.41 ,0.36 , 0.47,,0.39 ,0.34 , 0.44,,0.37 ,0.32 , 0.42,,0.36 ,0.31 , 0.40,,0.34 ,0.30 , 0.38,,0.33 ,0.29 , 0.37,,0.32 ,0.28 , 0.35,,0.30 ,0.27 , 0.33,,0.29 ,0.26 , 0.32,,0.29 ,0.26 , 0.31,,0.28 ,0.25 , 0.31,,0.27 ,0.24 , 0.30,,0.26 ,0.23 , 0.29,,0.26 ,0.23 , 0.29,,0.25 ,0.22 , 0.28,,0.27 ,0.23 , 0.30,,0.29 ,0.25 , 0.33,,0.32 ,0.27 , 0.36,
Maldives,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Mali,2.88 ,1.45 , 4.51,,3.18 ,1.91 , 4.64,,3.14 ,2.11 , 4.47,,3.02 ,2.32 , 4.06,,2.85 ,2.17 , 3.81,,2.62 ,2.03 , 3.44,,2.37 ,1.85 , 3.27,,2.19 ,1.70 , 2.91,,1.81 ,1.42 , 2.39,,1.69 ,1.31 , 2.18,,1.49 ,1.18 , 1.86,,1.35 ,1.05 , 1.64,,1.23 ,0.96 , 1.49,,1.10 ,0.87 , 1.32,,1.07 ,0.84 , 1.30,,1.02 ,0.81 , 1.25,,0.93 ,0.72 , 1.15,,0.91 ,0.71 , 1.15,,0.89 ,0.68 , 1.15,,0.81 ,0.61 , 1.06,,0.73 ,0.54 , 0.95,,0.68 ,0.50 , 0.89,,0.62 ,0.45 , 0.83,,0.59 ,0.41 , 0.79,,0.56 ,0.39 , 0.76,,0.53 ,0.36 , 0.75,,0.48 ,0.33 , 0.70,,0.44 ,0.29 , 0.67,,0.40 ,0.26 , 0.65,,0.37 ,0.23 , 0.60,,0.33 ,0.20 , 0.57,
Malta,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Mauritania,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Mauritius,<0.01 ,<0.01 , 0.05,,0.02 ,<0.01 , 0.09,,0.04 ,<0.01 , 0.16,,0.08 ,0.02 , 0.33,,0.17 ,0.04 , 0.58,,0.33 ,0.09 , 0.98,,0.55 ,0.18 , 1.41,,0.88 ,0.30 , 1.76,,1.23 ,0.49 , 1.90,,1.56 ,0.75 , 2.04,,1.78 ,1.10 , 2.06,,1.83 ,1.36 , 2.07,,1.85 ,1.46 , 2.07,,1.88 ,1.51 , 2.08,,1.85 ,1.51 , 2.09,,1.85 ,1.53 , 2.08,,1.86 ,1.57 , 2.06,,1.85 ,1.58 , 2.03,,1.81 ,1.53 , 1.97,,1.77 ,1.49 , 1.93,,1.73 ,1.44 , 1.90,,1.66 ,1.37 , 1.83,,1.54 ,1.26 , 1.71,,1.47 ,1.19 , 1.62,,1.41 ,1.13 , 1.57,,1.35 ,1.06 , 1.53,,1.34 ,1.01 , 1.55,,1.34 ,0.98 , 1.58,,1.33 ,0.93 , 1.63,,1.33 ,0.90 , 1.69,,1.37 ,0.90 , 1.83,
Mexico,0.21 ,0.18 , 0.25,,0.23 ,0.19 , 0.27,,0.24 ,0.20 , 0.28,,0.26 ,0.21 , 0.30,,0.27 ,0.22 , 0.31,,0.28 ,0.23 , 0.32,,0.29 ,0.24 , 0.33,,0.29 ,0.25 , 0.34,,0.30 ,0.25 , 0.35,,0.30 ,0.25 , 0.35,,0.30 ,0.25 , 0.34,,0.29 ,0.24 , 0.34,,0.28 ,0.23 , 0.33,,0.27 ,0.23 , 0.32,,0.26 ,0.22 , 0.30,,0.25 ,0.21 , 0.29,,0.24 ,0.20 , 0.28,,0.23 ,0.20 , 0.28,,0.23 ,0.19 , 0.27,,0.23 ,0.19 , 0.27,,0.24 ,0.20 , 0.28,,0.26 ,0.21 , 0.30,,0.27 ,0.22 , 0.32,,0.29 ,0.24 , 0.34,,0.27 ,0.23 , 0.33,,0.27 ,0.22 , 0.31,,0.27 ,0.22 , 0.32,,0.27 ,0.22 , 0.32,,0.27 ,0.23 , 0.33,,0.27 ,0.23 , 0.33,,0.27 ,0.22 , 0.33,
Mongolia,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,0.01 ,<0.01 , 0.01,,0.01 ,0.01 , 0.02,,0.02 ,0.02 , 0.02,,0.03 ,0.02 , 0.03,,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.03 , 0.03,,0.03 ,0.03 , 0.03,,0.03 ,0.03 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,
Montenegro,<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.03,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.04,"Children estimates were not available at the time of publication.",0.02 ,<0.01 , 0.04,"Children estimates were not available at the time of publication.",0.02 ,<0.01 , 0.04,"Children estimates were not available at the time of publication.",0.02 ,<0.01 , 0.05,"Children estimates were not available at the time of publication.",0.02 ,<0.01 , 0.05,"Children estimates were not available at the time of publication.",0.03 ,<0.01 , 0.06,"Children estimates were not available at the time of publication.",0.03 ,<0.01 , 0.07,"Children estimates were not available at the time of publication.",0.04 ,<0.01 , 0.08,"Children estimates were not available at the time of publication.",0.04 ,0.01 , 0.08,"Children estimates were not available at the time of publication.",0.05 ,0.01 , 0.09,"Children estimates were not available at the time of publication.",0.05 ,0.01 , 0.10,"Children estimates were not available at the time of publication.",0.06 ,0.01 , 0.11,"Children estimates were not available at the time of publication.",0.06 ,0.02 , 0.12,"Children estimates were not available at the time of publication.",0.06 ,0.02 , 0.13,"Children estimates were not available at the time of publication.",0.07 ,0.02 , 0.13,"Children estimates were not available at the time of publication.",0.07 ,0.02 , 0.14,"Children estimates were not available at the time of publication.",0.07 ,0.02 , 0.14,"Children estimates were not available at the time of publication.",0.07 ,0.02 , 0.15,"Children estimates were not available at the time of publication.",0.07 ,0.02 , 0.15,"Children estimates were not available at the time of publication.",0.07 ,0.02 , 0.14,"Children estimates were not available at the time of publication.",0.07 ,0.02 , 0.15,"Children estimates were not available at the time of publication.",0.07 ,0.02 , 0.14,"Children estimates were not available at the time of publication.",0.07 ,0.02 , 0.15,"Children estimates were not available at the time of publication.",0.07 ,0.01 , 0.17,"Children estimates were not available at the time of publication.",0.07 ,0.01 , 0.20,"Children estimates were not available at the time of publication."
Morocco,0.05 ,0.03 , 0.07,,0.06 ,0.04 , 0.08,,0.06 ,0.05 , 0.08,,0.07 ,0.05 , 0.09,,0.07 ,0.06 , 0.09,,0.08 ,0.06 , 0.09,,0.08 ,0.07 , 0.09,,0.08 ,0.07 , 0.09,,0.08 ,0.07 , 0.09,,0.08 ,0.07 , 0.10,,0.09 ,0.08 , 0.10,,0.09 ,0.08 , 0.11,,0.09 ,0.08 , 0.11,,0.09 ,0.08 , 0.10,,0.09 ,0.08 , 0.10,,0.09 ,0.08 , 0.10,,0.09 ,0.08 , 0.10,,0.09 ,0.07 , 0.10,,0.08 ,0.07 , 0.09,,0.08 ,0.07 , 0.09,,0.07 ,0.07 , 0.08,,0.07 ,0.06 , 0.08,,0.07 ,0.06 , 0.07,,0.06 ,0.05 , 0.07,,0.06 ,0.05 , 0.06,,0.05 ,0.05 , 0.06,,0.05 ,0.04 , 0.06,,0.04 ,0.04 , 0.05,,0.04 ,0.03 , 0.05,,0.04 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,
Mozambique,3.95 ,2.20 , 6.68,,5.13 ,2.86 , 8.68,,6.35 ,3.55 , 10.74,,7.83 ,4.37 , 13.23,,9.25 ,5.16 , 15.64,,10.64 ,5.93 , 17.98,,11.99 ,6.69 , 20.27,,13.26 ,7.40 , 22.42,,14.37 ,8.02 , 24.30,,15.35 ,8.57 , 25.95,,15.94 ,8.89 , 26.95,,16.11 ,8.99 , 27.24,,15.39 ,8.59 , 26.03,,15.08 ,8.41 , 25.49,,14.38 ,8.02 , 24.31,,13.97 ,7.80 , 23.62,,13.53 ,7.55 , 22.88,,13.14 ,7.33 , 22.22,,12.88 ,7.19 , 21.78,,12.59 ,7.02 , 21.28,,12.42 ,6.93 , 21.00,,12.06 ,6.73 , 20.40,,11.67 ,6.51 , 19.72,,11.24 ,6.27 , 19.01,,10.48 ,5.85 , 17.72,,9.78 ,5.46 , 16.54,,9.03 ,5.04 , 15.27,,8.24 ,4.60 , 13.93,,7.52 ,4.19 , 12.71,,6.94 ,3.87 , 11.74,,6.49 ,3.62 , 10.97,
Myanmar,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Namibia,7.04 ,6.00 , 8.23,,9.68 ,8.49 , 11.06,,12.91 ,11.51 , 14.63,,16.67 ,14.90 , 18.64,,20.38 ,18.35 , 22.56,,23.50 ,21.31 , 26.07,,24.67 ,22.51 , 27.15,,24.30 ,22.07 , 26.65,,22.64 ,20.65 , 24.73,,20.73 ,18.87 , 22.88,,18.61 ,17.04 , 20.65,,16.94 ,15.59 , 18.79,,15.49 ,14.38 , 17.15,,14.31 ,13.29 , 15.89,,13.49 ,12.49 , 14.93,,12.57 ,11.52 , 13.89,,11.72 ,10.65 , 13.05,,10.81 ,9.70 , 12.29,,9.82 ,8.78 , 11.34,,9.28 ,8.32 , 10.90,,9.14 ,8.19 , 10.96,,8.62 ,7.69 , 10.33,,7.92 ,7.06 , 9.42,,7.43 ,6.60 , 8.81,,7.07 ,6.27 , 8.35,,7.12 ,6.29 , 8.37,,6.58 ,5.79 , 7.76,,6.39 ,5.61 , 7.65,,5.65 ,4.86 , 6.80,,5.01 ,4.28 , 6.09,,4.23 ,3.52 , 5.13,
Nepal,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,0.02 ,0.01 , 0.02,,0.03 ,0.02 , 0.03,,0.06 ,0.05 , 0.06,,0.11 ,0.09 , 0.12,,0.20 ,0.17 , 0.24,,0.32 ,0.26 , 0.37,,0.37 ,0.31 , 0.43,,0.36 ,0.31 , 0.42,,0.34 ,0.29 , 0.38,,0.32 ,0.28 , 0.37,,0.31 ,0.27 , 0.35,,0.28 ,0.25 , 0.32,,0.26 ,0.23 , 0.30,,0.23 ,0.20 , 0.26,,0.19 ,0.17 , 0.22,,0.17 ,0.15 , 0.19,,0.15 ,0.14 , 0.17,,0.14 ,0.12 , 0.15,,0.12 ,0.11 , 0.14,,0.11 ,0.09 , 0.12,,0.09 ,0.08 , 0.10,,0.08 ,0.08 , 0.10,,0.08 ,0.07 , 0.09,,0.07 ,0.06 , 0.08,,0.06 ,0.05 , 0.07,,0.05 ,0.05 , 0.06,,0.05 ,0.04 , 0.05,,0.04 ,0.04 , 0.05,
